Tue, 29 Nov 2022 18:31:59 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717918671778900' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27359' | serial.serialutil.SerialException: [Errno 5] could not open port /dev/ttyS16: [Errno 5] Input/output error: '/dev/ttyS16'
Tue, 29 Nov 2022 18:31:59 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717918671778900' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27359' | [27360] Failed to execute script 'esptool' due to unhandled exception!
Tue, 29 Nov 2022 18:31:59 +0800 | ACCESS | session    | url:'http://localhost:8083/' id:'1669717918671778900' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27359' | DISCONNECT
Tue, 29 Nov 2022 18:32:02 +0800 | INFO   | server     |  | Serving using application   : /mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool -p /dev/ttyS11 -b 460800 --before default_reset --after hard_reset --chip esp32-s3 write_flash --flash_mode dio --flash_freq 40m --flash_size detect 0x0 /mnt/d/2022/python/esptool_server/esptool_server_py/upload_file/ab99c2c8-6d6f-4019-bd36-a15d8b6dfdb6.bin
Tue, 29 Nov 2022 18:32:02 +0800 | INFO   | server     |  | Starting WebSocket server   : ws://LAPTOP-TK9NNM60:8083/
Tue, 29 Nov 2022 18:32:03 +0800 | ACCESS | session    | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' | CONNECT
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' | Traceback (most recent call last):
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 5482, in <module>
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 5475, in _main
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 4895, in main
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 3911, in detect_flash_size
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 886, in flash_id
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 1198, in run_spiflash_command
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 733, in read_reg
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 483, in command
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "esptool.py", line 446, in write
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' |   File "serial/serialposix.py", line 663, in write
Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' | serial.serialutil.SerialTimeoutException: Write timeout
